series;window type;glass option;model code;u-value;shgc;er;vt;report
5000 Series;Casement Window;4,270(2)-4,CL;OASW-CA-4,270(2)-4,CL-18AR90SS;1.46;0.24;22;0.44;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;4,366(2)-4,CL;OASW-CA-4,366(2)-4,CL-18AR90SS;1.44;0.18;19;0.41;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;4,366(2)-4,i89(4);OASW-CA-4,366(2)-4,i89(4)-18AR90SS;1.23;0.18;23;0.40;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;4,CL-4,180(3);OASW-CA-4,CL-4,180(3)-18AR90SS;1.51;0.43;32;0.50;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;4,180(2)-4,i89(4);OASW-CA-4,180(2)-4,i89(4)-18AR90SS;1.27;0.40;35;0.49;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;5,270(2)-5,CL;OASW-CA-5,270(2)-5,CL-16AR90SS;1.45;0.24;22;0.43;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;5,366(2)-5,CL;OASW-CA-5,366(2)-5,CL-16AR90SS;1.43;0.18;19;0.40;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;5,366(2)-5,i89(4);OASW-CA-5,366(2)-5,i89(4)-16AR90SS;1.22;0.18;24;0.40;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;5,CL-5,180(3);OASW-CA-5,CL-5,180(3)-16AR90SS;1.50;0.42;31;0.49;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;5,180(2)-5,i89(4);OASW-CA-5,180(2)-5,i89(4)-16AR90SS;1.26;0.39;35;0.49;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;5,GRAY-5,180(3);OASW-CA-5,GRAY-5,180(3)-16AR90SS;1.50;0.28;23;0.27;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;6,270(2)-6,CL;OASW-CA-6,270(2)-6,CL-13AR90SS;1.44;0.24;22;0.43;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;6,366(2)-6,CL;OASW-CA-6,366(2)-6,CL-13AR90SS;1.42;0.18;19;0.40;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;6,366(2)-6,i89(4);OASW-CA-6,366(2)-6,i89(4)-13AR90SS;1.21;0.18;24;0.39;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;6,CL-6,180(3);OASW-CA-6,CL-6,180(3)-13AR90SS;1.48;0.41;31;0.49;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;6,180(2)-6,i89(4);OASW-CA-6,180(2)-6,i89(4)-13AR90SS;1.26;0.38;34;0.48;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;6,SOGR-6,180(3);OASW-CA-6,SOGR-6,180(3)-13AR90SS;1.48;0.14;16;0.09;T636-65 (Issued November 20, 2020)
5000 Series;Casement Window;6,366L(2)-6,i89(4);OASW-CA-6,366L(2)-6,i89(4)-13AR90SS;1.20;0.18;24;0.39;T636-65 (Issued November 20, 2020)
